method,subset,n_pair_rows,n_runs,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,full_rms_ns,full_rms_ci_low_ns,full_rms_ci_high_ns
raw_pair_median,all,65484,21,2.0818359213706255,1.8102478015966903,9.923823268033644,20.675023326611615,16.072127242652563,28.90197142153736
raw_pair_median,B2_containing,43956,21,3.512344883482385,1.9034854483095625,21.393282481552905,24.816974776203015,19.25289887672353,35.656121219478294
raw_pair_median,downstream_only,21528,21,1.7325646285801632,1.699925885741203,1.756378224433956,6.536663382985358,5.76787492685901,7.305218409001512
traditional_saturation_ridge,all,65484,21,6.624902145269459,6.129773980651661,7.978775738214494,11.57731637216358,10.491573322816894,13.903442783970474
traditional_saturation_ridge,B2_containing,43956,21,7.049946425152314,6.307538716688287,8.941134161863854,13.06787619264359,11.624158754181376,15.437636526003368
traditional_saturation_ridge,downstream_only,21528,21,5.662865804080518,5.151610363616665,6.511325466085126,7.78700969180015,7.113102915700118,8.620134173640459
ml_with_b2_local,all,65484,21,1.3580828742946385,1.2217283019471996,1.9287919114825574,5.568794543506944,5.058223543423197,6.871356197636128
ml_with_b2_local,B2_containing,43956,21,1.6195655758530956,1.3698415627347387,2.5716661648058228,6.193198645536785,5.516007061268712,7.316215054098166
ml_with_b2_local,downstream_only,21528,21,1.031107566432707,0.9960418029940273,1.0954739397657314,4.0068449520347205,3.1144034642394813,5.242666050619836
ml_no_b2_local,all,65484,21,1.8497113216304941,1.6357364058837074,2.658631546251683,8.115288582935479,7.130634017787306,10.24560181645685
ml_no_b2_local,B2_containing,43956,21,2.4969097047973667,2.0642720826482597,4.087494892775105,9.367349911175118,8.153471681733047,11.55375709061343
ml_no_b2_local,downstream_only,21528,21,1.1695868233234812,1.124859565313948,1.2658673736139765,4.613471224255094,3.7257065561644556,5.791600161610731
ml_shuffled_run_control,all,65484,21,4.630166440540069,4.1095882764423735,9.694929496598498,20.91963253348136,16.50042626230679,29.67759264479446
ml_shuffled_run_control,B2_containing,43956,21,5.4698088941854355,4.1880784098389165,20.559353311106808,25.242071926135623,19.78792530991517,35.30185734988186
ml_shuffled_run_control,downstream_only,21528,21,3.5666339537250398,3.4654331998485297,3.655748151021569,7.184195678494225,6.394843517685163,7.994281486220524
downstream_only_control,all,65484,21,3.315836977965338,3.0835403345611123,8.055212370077811,13.653571544049742,10.956796238652217,18.55655469625875
downstream_only_control,B2_containing,43956,21,4.279415883582398,3.4444048579979496,14.392184608607005,16.505083346969897,13.392068175973465,21.679063114100693
downstream_only_control,downstream_only,21528,21,1.1696981391400596,1.1290642612901078,1.2689688010307223,5.119557090279167,4.302988645564801,6.4395142940622625
