geometry,description,first_center_cm,spacing_cm,active_thickness_cm,dead_layer_cm,pstar_density_g_cm3,pstar_range_scale,B2_effective_depth_cm,B8_effective_depth_cm,B2_anchor_mev,B8_anchor_mev,traditional_res68,ml_res68,ml_minus_traditional_res68
nominal_budget,"nominal first-center, spacing, active thickness, dead layer, density, and PSTAR range scale",2.0,4.0,1.0,0.0,1.032,1.0,2.0,14.0,40.041411846408614,117.96480450815572,0.021189225434905763,0.024833852540874498,0.0036446271059687348
first_center_cm_1p5,one-at-a-time scan: first_center_cm=1.5,1.5,4.0,1.0,0.0,1.032,1.0,1.5,13.5,34.66533247409687,115.55414098772489,0.027116857019290255,0.030140105489624244,0.0030232484703339897
first_center_cm_2,one-at-a-time scan: first_center_cm=2,2.0,4.0,1.0,0.0,1.032,1.0,2.0,14.0,40.041411846408614,117.96480450815572,0.021189225434905763,0.025331553122025632,0.004142327687119869
first_center_cm_2p5,one-at-a-time scan: first_center_cm=2.5,2.5,4.0,1.0,0.0,1.032,1.0,2.5,14.5,45.10274947232502,120.33852833295236,0.017251773416181122,0.02079760407409461,0.0035458306579134874
spacing_cm_3p8,one-at-a-time scan: spacing_cm=3.8,2.0,3.8,1.0,0.0,1.032,1.0,2.0,13.399999999999999,40.041411846408614,115.06740474636578,0.02011099007904716,0.02383740577179728,0.0037264156927501214
spacing_cm_4,one-at-a-time scan: spacing_cm=4,2.0,4.0,1.0,0.0,1.032,1.0,2.0,14.0,40.041411846408614,117.96480450815572,0.021189225434905763,0.025970408267889974,0.004781182832984211
spacing_cm_4p2,one-at-a-time scan: spacing_cm=4.2,2.0,4.2,1.0,0.0,1.032,1.0,2.0,14.600000000000001,40.041411846408614,120.80900243120398,0.0222619524105251,0.026126833854502166,0.003864881443977064
active_thickness_cm_0p8,one-at-a-time scan: active_thickness_cm=0.8,2.0,4.0,0.8,0.0,1.032,1.0,1.9,13.9,39.02320273510415,117.48568771920858,0.022125866303691524,0.025950788092172532,0.003824921788481008
active_thickness_cm_1,one-at-a-time scan: active_thickness_cm=1,2.0,4.0,1.0,0.0,1.032,1.0,2.0,14.0,40.041411846408614,117.96480450815572,0.021189225434905763,0.025770909112639503,0.00458168367773374
active_thickness_cm_1p2,one-at-a-time scan: active_thickness_cm=1.2,2.0,4.0,1.2,0.0,1.032,1.0,2.1,14.1,41.09719256596672,118.4424442346816,0.020250621417509076,0.02402872064636396,0.003778099228854883
dead_layer_cm_0,one-at-a-time scan: dead_layer_cm=0,2.0,4.0,1.0,0.0,1.032,1.0,2.0,14.0,40.041411846408614,117.96480450815572,0.021189225434905763,0.02553749142613739,0.0043482659912316285
dead_layer_cm_0p1,one-at-a-time scan: dead_layer_cm=0.1,2.0,4.0,1.0,0.1,1.032,1.0,2.0,14.3,40.041411846408614,119.3933521688593,0.021719797267772005,0.025933337204066306,0.004213539936294301
dead_layer_cm_0p2,one-at-a-time scan: dead_layer_cm=0.2,2.0,4.0,1.0,0.2,1.032,1.0,2.0,14.6,40.041411846408614,120.80900243120398,0.0222619524105251,0.02648223997846879,0.004220287567943688
pstar_density_g_cm3_1,one-at-a-time scan: pstar_density_g_cm3=1,2.0,4.0,1.0,0.0,1.0,1.0,2.0,14.0,39.41207754772346,115.87400720229022,0.021077882313608305,0.02582125324857997,0.004743370934971666
pstar_density_g_cm3_1p032,one-at-a-time scan: pstar_density_g_cm3=1.032,2.0,4.0,1.0,0.0,1.032,1.0,2.0,14.0,40.041411846408614,117.96480450815572,0.021189225434905763,0.02509052165633047,0.003901296221424707
pstar_density_g_cm3_1p06,one-at-a-time scan: pstar_density_g_cm3=1.06,2.0,4.0,1.0,0.0,1.06,1.0,2.0,14.0,40.6172952794731,119.77137090569387,0.02123815912164752,0.025121539631509364,0.0038833805098618425
pstar_range_scale_0p97,one-at-a-time scan: pstar_range_scale=0.97,2.0,4.0,1.0,0.0,1.032,0.97,2.0,14.0,40.69729924034508,120.02247703523356,0.021244615317517403,0.024976371175150437,0.003731755857633034
pstar_range_scale_1,one-at-a-time scan: pstar_range_scale=1,2.0,4.0,1.0,0.0,1.032,1.0,2.0,14.0,40.041411846408614,117.96480450815572,0.021189225434905763,0.024669499475017048,0.0034802740401112843
pstar_range_scale_1p03,one-at-a-time scan: pstar_range_scale=1.03,2.0,4.0,1.0,0.0,1.032,1.03,2.0,14.0,39.450394981219375,116.0016926473054,0.021085307511782576,0.024950398102047057,0.0038650905902644812
corner_lofir_lodea_lopst,corner envelope scan,1.5,3.8,0.8,0.0,1.0,0.97,1.4,12.799999999999999,33.47029129533337,112.0472130850062,0.027339763090188172,0.03083789725026939,0.003498134160081219
corner_lofir_lodea_hipst,corner envelope scan,1.5,3.8,0.8,0.0,1.06,1.03,1.4,12.799999999999999,33.44097771491762,111.93600273395748,0.027333343878966458,0.030830835840895323,0.003497491961928865
corner_lofir_hidea_lopst,corner envelope scan,1.5,3.8,0.8,0.2,1.0,0.97,1.4,13.399999999999999,33.47029129533337,114.99951932601579,0.02877029809629374,0.03222012616130544,0.003449828065011703
corner_lofir_hidea_hipst,corner envelope scan,1.5,3.8,0.8,0.2,1.06,1.03,1.4,13.399999999999999,33.44097771491762,114.8853787190112,0.02876353190144335,0.032214354108623264,0.003450822207179915
corner_hifir_lodea_lopst,corner envelope scan,2.5,4.2,1.2,0.0,1.0,0.97,2.6,15.200000000000001,46.03075738697875,123.53018294793155,0.01748095347476711,0.02119952764579303,0.003718574171025918
corner_hifir_lodea_hipst,corner envelope scan,2.5,4.2,1.2,0.0,1.06,1.03,2.6,15.200000000000001,45.98783053934785,123.40757539141578,0.01747805849949458,0.02119590597556443,0.00371784747606985
corner_hifir_hidea_lopst,corner envelope scan,2.5,4.2,1.2,0.2,1.0,0.97,2.6,15.8,46.03075738697875,126.28618770088765,0.01832352474099649,0.02200247434741549,0.003678949606418999
corner_hifir_hidea_hipst,corner envelope scan,2.5,4.2,1.2,0.2,1.06,1.03,2.6,15.8,45.98783053934785,126.15978826464877,0.01832043297695402,0.021999149737636628,0.003678716760682609
