pretrigger_risk_group,pre_rms_bin,pre_slope_bin,pre_exc_bin,adaptive_bin,n,downstream_rate,tail20_mean_ns,two_pulse_improvement,charge_residual
high_pretrigger,rms_q3,slope_q3,exc_q4,lower_q2,149,0.08053691275167785,140.0,0.020560882650177612,-2.6347815535246397
high_pretrigger,rms_q3,slope_q4,exc_q3,lower_q2,297,0.07744107744107744,90.43771043771044,0.010574576740517528,-7.568198621277563
high_pretrigger,rms_q3,slope_q4,exc_q4,lower_q2,172,0.10465116279069768,97.03488372093024,0.01239816384182279,-7.867492144461392
high_pretrigger,rms_q4,slope_q1,exc_q3,lower_q2,3,0.0,20.0,0.0,-35.75370393644133
high_pretrigger,rms_q4,slope_q1,exc_q4,lower_q2,11,0.0,24.545454545454547,0.0,-24.462768355964144
high_pretrigger,rms_q4,slope_q2,exc_q3,lower_q2,12,0.08333333333333333,47.5,0.0,-22.396739121559932
high_pretrigger,rms_q4,slope_q2,exc_q4,lower_q2,54,0.018518518518518517,27.037037037037038,0.0,-26.908790202984868
high_pretrigger,rms_q4,slope_q3,exc_q3,lower_q2,35,0.0,39.142857142857146,0.002141645019161339,-24.493268768947974
high_pretrigger,rms_q4,slope_q3,exc_q4,lower_q2,329,0.0121580547112462,27.811550151975684,0.00052399948325444,-29.483457754653006
high_pretrigger,rms_q4,slope_q4,exc_q3,lower_q2,238,0.08403361344537816,79.07563025210084,0.008510528794344848,-10.990640067752567
high_pretrigger,rms_q4,slope_q4,exc_q4,lower_q2,11828,0.08682786608048698,97.845789651674,0.010198770402042739,-8.008428615010082
quiet_reference,rms_q1,slope_q1,exc_q1,lower_q2,116422,0.03599835082716325,165.44991496452562,0.3135723511495569,0.7233061810496492
quiet_reference,rms_q1,slope_q1,exc_q2,lower_q2,1182,0.025380710659898477,166.3197969543147,0.2276928552651568,0.4541189890231495
quiet_reference,rms_q1,slope_q2,exc_q1,lower_q2,2836,0.03385049365303244,165.37729196050776,0.2897749156645233,0.6248907409511034
quiet_reference,rms_q1,slope_q2,exc_q2,lower_q2,853,0.0246189917936694,166.61195779601408,0.25420102684492635,0.4479071223386925
quiet_reference,rms_q2,slope_q1,exc_q1,lower_q2,353,0.039660056657223795,164.95750708215297,0.2478028645566992,0.5043408063515636
quiet_reference,rms_q2,slope_q1,exc_q2,lower_q2,2854,0.018220042046250877,165.75683251576734,0.20021185662761165,0.40434716639773727
quiet_reference,rms_q2,slope_q2,exc_q1,lower_q2,1405,0.03416370106761566,165.46619217081852,0.3269109172693595,0.720460403085314
quiet_reference,rms_q2,slope_q2,exc_q2,lower_q2,67823,0.019801542249679314,166.87863998938414,0.13311247725273748,0.4661795217788428
quiet_reference,rms_q2,slope_q2,exc_q3,lower_q2,155,0.025806451612903226,168.90322580645162,0.04945756224280985,0.34395141315883304
quiet_reference,rms_q2,slope_q3,exc_q2,lower_q2,760,0.02763157894736842,166.55263157894737,0.07171988449401766,0.25308571801028057
quiet_reference,rms_q2,slope_q3,exc_q3,lower_q2,236,0.01694915254237288,168.47457627118644,0.0426920382151422,0.3125361935255434
quiet_reference,rms_q3,slope_q1,exc_q2,lower_q2,13,0.07692307692307693,143.07692307692307,0.030959124143181454,-1.3154712779484128
quiet_reference,rms_q3,slope_q1,exc_q3,lower_q2,58,0.05172413793103448,117.58620689655173,0.0045314492762342905,-3.1881644853434303
quiet_reference,rms_q3,slope_q2,exc_q2,lower_q2,85,0.03529411764705882,142.47058823529412,0.014138324958571587,-1.482909893809537
quiet_reference,rms_q3,slope_q2,exc_q3,lower_q2,593,0.025295109612141653,141.55143338954468,0.019955732142294166,-1.6890942477307038
quiet_reference,rms_q3,slope_q3,exc_q2,lower_q2,240,0.016666666666666666,157.70833333333334,0.1708174113862221,0.10174877240394106
quiet_reference,rms_q3,slope_q3,exc_q3,lower_q2,34137,0.03245745085977092,162.54298854615226,0.029942352401875132,-0.4025334871588896
