heldout_run,heldout_group,n_scored_events,ml_fold,train_low_runs,cal_low_runs,n_synthetic_train,n_synthetic_cal,synthetic_staves,synthetic_holdout_auc,synthetic_holdout_ap,synthetic_holdout_brier,synthetic_secondary_fraction_mae,shuffled_label_synthetic_auc,template_source_runs,ml_models_used,ml_train_runs_used
-1,low_overlay_calibration,0,low46_train_low47_cal,46,47,342.0,600.0,B2 B6 B8,0.7649222222222223,0.7480033687407459,0.20381279449921602,0.24270010805421427,0.3631333333333333,,,
-1,low_overlay_calibration,0,low47_train_low46_cal,47,46,520.0,307.0,B2 B4 B6 B8,0.7250657838893133,0.7608154748730953,0.21906671321287569,0.23899268156508027,0.5502928444104915,,,
44,high_20nA,160,,,,,,,0.7449940030557678,0.7544094218069206,0.21143975385604585,0.24084639480964726,0.4567130888719124,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
45,high_20nA,160,,,,,,,0.7449940030557678,0.7544094218069206,0.21143975385604585,0.24084639480964726,0.4567130888719124,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
46,low_2nA,97,,,,,,,0.7449940030557678,0.7544094218069206,0.21143975385604585,0.24084639480964726,0.4567130888719124,47,low47_train_low46_cal,47
47,low_2nA,160,,,,,,,0.7449940030557678,0.7544094218069206,0.21143975385604585,0.24084639480964726,0.4567130888719124,46,low46_train_low47_cal,46
48,high_20nA,160,,,,,,,0.7449940030557678,0.7544094218069206,0.21143975385604585,0.24084639480964726,0.4567130888719124,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
49,high_20nA,160,,,,,,,0.7449940030557678,0.7544094218069206,0.21143975385604585,0.24084639480964726,0.4567130888719124,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
50,high_20nA,160,,,,,,,0.7449940030557678,0.7544094218069206,0.21143975385604585,0.24084639480964726,0.4567130888719124,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
51,high_20nA,160,,,,,,,0.7449940030557678,0.7544094218069206,0.21143975385604585,0.24084639480964726,0.4567130888719124,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
52,high_20nA,160,,,,,,,0.7449940030557678,0.7544094218069206,0.21143975385604585,0.24084639480964726,0.4567130888719124,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
53,high_20nA,160,,,,,,,0.7449940030557678,0.7544094218069206,0.21143975385604585,0.24084639480964726,0.4567130888719124,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
54,high_20nA,160,,,,,,,0.7449940030557678,0.7544094218069206,0.21143975385604585,0.24084639480964726,0.4567130888719124,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
55,high_20nA,160,,,,,,,0.7449940030557678,0.7544094218069206,0.21143975385604585,0.24084639480964726,0.4567130888719124,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
56,high_20nA,160,,,,,,,0.7449940030557678,0.7544094218069206,0.21143975385604585,0.24084639480964726,0.4567130888719124,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
57,high_20nA,160,,,,,,,0.7449940030557678,0.7544094218069206,0.21143975385604585,0.24084639480964726,0.4567130888719124,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
