pool,method,control,safe_width_ns,control_width_ns,control_minus_safe_ns,interpretation,ci_low_ns,ci_high_ns,p_value
run64_only,ridge,ridge__safe_no_tail,1.662377525302948,1.73605771660491,0.07368019130196202,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
run64_only,ridge,ridge__waveform_only,1.662377525302948,3.073433245868967,1.411055720566019,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
run64_only,ridge,ridge__run_only,1.662377525302948,1.6099706543209522,-0.05240687098199581,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
run64_only,cnn1d,cnn1d__waveform_only,1.662377525302948,3.073433245868967,1.411055720566019,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
run64_only,leakage_gated_cnn_new,leakage_gated_cnn_new__waveform_only,1.662377525302948,3.073433245868967,1.411055720566019,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
sample_iii_early,ridge,ridge__safe_no_tail,1.4651454487542614,1.4579300416558276,-0.007215407098433824,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
sample_iii_early,ridge,ridge__waveform_only,1.4651454487542614,1.897074633599786,0.43192918484552445,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
sample_iii_early,ridge,ridge__run_only,1.4651454487542614,1.5953919552424969,0.13024650648823544,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
sample_iii_early,cnn1d,cnn1d__waveform_only,1.510113611720293,1.4640854283095137,-0.04602818341077919,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
sample_iii_early,leakage_gated_cnn_new,leakage_gated_cnn_new__waveform_only,1.4537904918591442,1.1264952290747023,-0.3272952627844419,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
sample_iii_late,ridge,ridge__safe_no_tail,2.274561227747005,1.961364988718437,-0.3131962390285681,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
sample_iii_late,ridge,ridge__waveform_only,2.274561227747005,1.9621190069541203,-0.31244222079288475,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
sample_iii_late,ridge,ridge__run_only,2.274561227747005,1.5950687912419461,-0.679492436505059,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
sample_iii_late,cnn1d,cnn1d__waveform_only,2.3482866399778577,1.8316059789502273,-0.5166806610276304,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
sample_iii_late,leakage_gated_cnn_new,leakage_gated_cnn_new__waveform_only,2.289600850041265,2.053058755099877,-0.23654209494138811,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
sample_iii_mixed,ridge,ridge__safe_no_tail,1.8636634425445948,1.712126551412477,-0.15153689113211777,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
sample_iii_mixed,ridge,ridge__waveform_only,1.8636634425445948,1.828956644651647,-0.03470679789294784,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
sample_iii_mixed,ridge,ridge__run_only,1.8636634425445948,1.6057502273286512,-0.25791321521594357,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
sample_iii_mixed,cnn1d,cnn1d__waveform_only,1.7957302847728105,1.7287881117296693,-0.0669421730431412,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
sample_iii_mixed,leakage_gated_cnn_new,leakage_gated_cnn_new__waveform_only,1.54578108667735,1.5761464631465323,0.030365376469182248,large negative means the control is suspiciously stronger than the accepted safe feature set,,,
